address,before_optimized_token,optimized_80p_token,optimized_50_token,optimize_20p_token
0x0356a7871e3ab819a5183bd367ea6187f6e3acc8,1534,1217,753,315
0x0356e14C2f8De339131C668c1747dEF594467a9A,1001,787,486,197
0x035a401972f228b58dcae76bf318b54ed036d680,1514,1192,723,291
0x035c8119a68a8f762fe2731fa190a5afcba653a3,1086,852,520,198
0x036407F23D5E1C1486F7488332CF54bf06E5F09F,1515,1211,719,288
0x038cabdd362c5a5192f968caedfa8ce8777b312d,1525,1208,741,301
0x038cf0fe8b400538211b0cdc2dbf4e9a8a36bda4,564,446,270,99
0x038Da599A137f89f49b43cd0d561d5E159058b60,1448,1138,678,264
0x0396340f16bbec973280ab053efc3f208fa37795,1303,1026,625,251
0x03a6290b5c0875313422ee003bd323979c8d1ac2,381,302,182,73
0x03a6d45820edb4e66e41ece0dc96170e875a1d16,1525,1208,741,301
0x03a7b9266b98904a7807ee3f5d03b272d614e064,1069,847,520,202
0x03ab37e5754f55c965101ba1623b3bc91e819b28,70,58,41,17
0x03abf8b032feebef9f3ad74459d4a951f8cc84ba,1550,1225,769,316
0x03ad838d4d962fa6b187dc10e8513e595a32f889,1535,1195,722,282
0x03b0be689f36f383568d0a2486834cc6ceddda50,1587,1271,769,289
0x03B2DC629520693e69339BAF84fD74CDcCCB275C,1569,1266,792,312
0x03bb85e156a5daf4b1e3357f251310a0e7e78b18,1069,847,520,202
0x03c18d649e743ee0b09f28a81d33575f03af9826,1435,1128,683,285
0x03cf94938696812a3615a98cdfcf82598ef30158,1458,1139,688,261
0x03e9aa975f78447e525bdacf9b78d203d55ad89a,1544,1199,761,297
0x03fda8d2b2cb20a72e1fa6ee87f7356153b7123c,1069,847,520,202
0x041b3eb05560ba2670def3cc5eec2aeef8e5d14b,1507,1181,758,303
0x041d26dcceda7fd82898cd7dce0ae7da6031ee51,541,422,259,101
0x0429047892b8a903c0b4fbbd26e85d288f7af958,1513,1195,731,292
0x042a277368cb43A70b06361E7ab7D1D0A2096B0e,783,615,388,141
0x042c2d72F48bC09B7b7078d4ba6f6a8DdCaef838,1433,1131,696,273
0x0434466d3e9f8b9e01e6cf719eb5d266959b4f08,1112,873,531,205
0x0436d3110dee47f177bb5d9b7ea5ce5d712522e8,909,722,448,171
0x04377099cc9dfec0f4bb55189a142959eae293a8,910,702,443,172
0x043a0f6f167c81d6bc22066c0525fe88a2da3c5a,918,728,445,185
0x043bef377cb396756d177fda57f1ff941959a0cd,1057,817,493,208
0x0445ae32d33066a29e4573bf15d4a2a9690ab754,1137,893,547,215
0x045017b207afbac0b104acbe2114c8dca369f305,1069,847,520,202
0x045129cba354a107eceb686300dabe2bdee6e453,1461,1137,703,280
0x045c60df00aa2b7ff1753ee81b57bfe5e290e732,1533,1225,759,299
0x046ca79f69c12a443eba6570610cb53030e66ef0,304,243,151,58
0x047b992d4f5c5ef58fc77b76708aa9bd35ad1cd8,1471,1198,761,304
0x047BE01729131132D47e54c95cA1F3E14044DFBf,1082,849,511,210
0x04811b269ce3feccf2dffb13a79aed13b1cbf296,1581,1246,772,309
0x0482bd68cdba85abe413db123985fb46deb25a4e,1329,1019,640,254
0x04830e45762f09853b398d1d03003fda7c978597,1535,1228,771,314
0x048431fe46a02ee28497919224ef3144f68a872b,951,737,437,174
0x048717ea892f23fb0126f00640e2b18072efd9d2,1339,1058,643,270
0x04874548a2c233f57ba13c4d4cdee73c29811322,1069,847,520,202
0x049399a6b048d52971f7d122ae21a1532722285f,1288,991,622,245
0x049509cb0e5720a3eadd7e7f736a5a05cf810070,1543,1216,745,300
0x049a5bf874f241d94232137ef728a9c7dd0d7550,1481,1191,730,285
0x04b14c31c9fe219a16c62686cac58b4f702ce73f,1084,859,524,202
